date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:58:36	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Nov%202022%2023:58:35%20GMT	http://polygons.space/robots.txt		(from )
18:58:37	77738/77738	---M-Z	200	added ('OK')	text/html	etag:%221e8005b-12faa-5cab339447eee-gzip%22	http://polygons.space/neptune/source/templates/admin1/	/Users/dp/websites/Neptune/polygons.space/neptune/source/templates/admin1/index.html	(from )
18:58:37	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Nov%202022%2023:58:37%20GMT	https://fonts.gstatic.com/	/Users/dp/websites/Neptune/fonts.gstatic.com/index.html	(from http://polygons.space/neptune/source/templates/admin1/)
18:58:38	1021/1021	---MC-	200	added ('OK')	text/css	date:Fri,%2025%20Nov%202022%2023:58:37%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500;600;700&display=swap	/Users/dp/websites/Neptune/fonts.googleapis.com/css2496c.css	(from http://polygons.space/neptune/source/templates/admin1/)
18:58:39	1596/1596	---MC-	200	added ('OK')	text/css	date:Fri,%2025%20Nov%202022%2023:58:38%20GMT	https://fonts.googleapis.com/css2?family=Montserrat:wght@100;300;400;500;600;700;800&display=swap	/Users/dp/websites/Neptune/fonts.googleapis.com/css2ae21.css	(from http://polygons.space/neptune/source/templates/admin1/)
18:58:40	2588/2588	---MC-	200	added ('OK')	text/css	date:Fri,%2025%20Nov%202022%2023:58:39%20GMT	https://fonts.googleapis.com/css?family=Material+Icons|Material+Icons+Outlined|Material+Icons+Two+Tone|Material+Icons+Round|Material+Icons+Sharp	/Users/dp/websites/Neptune/fonts.googleapis.com/cssc484.css	(from http://polygons.space/neptune/source/templates/admin1/)
18:58:40	154875/154875	---M-Z	200	added ('OK')	text/css	etag:%221e801e4-25cfb-5cab341349647-gzip%22	http://polygons.space/neptune/source/assets/plugins/bootstrap/css/bootstrap.min.css	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://polygons.space/neptune/source/templates/admin1/)
18:58:41	2598/2598	---M-Z	200	added ('OK')	text/css	etag:%221e801ba-a26-5cab3407e2e92-gzip%22	http://polygons.space/neptune/source/assets/plugins/perfectscroll/perfect-scrollbar.css	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/perfectscroll/perfect-scrollbar.css	(from http://polygons.space/neptune/source/templates/admin1/)
18:58:42	306/306	---M-Z	200	added ('OK')	text/css	etag:%221e80194-132-5cab33fbb2c45-gzip%22	http://polygons.space/neptune/source/assets/plugins/pace/pace.css	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/pace/pace.css	(from http://polygons.space/neptune/source/templates/admin1/)
18:58:43	127126/127126	---M-Z	200	added ('OK')	text/css	etag:%221e80115-1f096-5cab33bfa78b0-gzip%22	http://polygons.space/neptune/source/assets/css/main.min.css	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/css/main.min.css	(from http://polygons.space/neptune/source/templates/admin1/)
